model,dataset,selector,budget_pct,n,status,score_pct,static_reference_score_pct,dense_reference_score_pct,dynamic_minus_static_pp,accuracy_delta_pp,flop_reduction_pct,gate_ok,path
llava15,docvqa,saliency_mix_ref,25,200,unknown,11.66,14.65,16.47,-2.99,-4.81,71.32,True,results/runs/llava15/docvqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p25_instruction_on.json
llava15,docvqa,saliency_mix_ref,35,200,unknown,12.37,16.2,16.47,-3.83,-4.1,61.92,True,results/runs/llava15/docvqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p35_instruction_on.json
llava15,docvqa,saliency_mix_ref,50,200,unknown,13.89,17.01,16.47,-3.12,-2.58,47.89,True,results/runs/llava15/docvqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p50_instruction_on.json
llava15,docvqa,static_guarded_textsim_ref,25,200,unknown,13.32,14.65,16.47,-1.33,-3.15,71.32,True,results/runs/llava15/docvqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p25_instruction_on.json
llava15,docvqa,static_guarded_textsim_ref,35,200,unknown,14.66,16.2,16.47,-1.54,-1.81,61.92,True,results/runs/llava15/docvqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p35_instruction_on.json
llava15,docvqa,static_guarded_textsim_ref,50,200,unknown,15.73,17.01,16.47,-1.28,-0.74,47.89,True,results/runs/llava15/docvqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p50_instruction_on.json
llava15,docvqa,textsim,15,5349,final,11.41,17.73,21.53,-6.32,-10.12,80.67,True,results/runs/llava15/docvqa/dynamic_which_final_textsim_p15_instruction_on.json
llava15,docvqa,textsim,25,5349,final,12.5,19.32,21.53,-6.82,-9.03,71.33,True,results/runs/llava15/docvqa/dynamic_which_final_textsim_p25_instruction_on.json
llava15,docvqa,textsim,25,200,n200_pilot,7.15,14.65,16.47,-7.5,-9.32,71.32,True,results/runs/llava15/docvqa/dynamic_which_pilot_n200_textsim_p25_instruction_on.json
llava15,docvqa,textsim,35,5349,final,13.35,20.09,21.53,-6.74,-8.18,61.93,True,results/runs/llava15/docvqa/dynamic_which_final_textsim_p35_instruction_on.json
llava15,docvqa,textsim,35,200,n200_pilot,8.01,16.2,16.47,-8.19,-8.46,61.92,True,results/runs/llava15/docvqa/dynamic_which_pilot_n200_textsim_p35_instruction_on.json
llava15,docvqa,textsim,50,5349,final,14.47,20.75,21.53,-6.28,-7.06,47.9,True,results/runs/llava15/docvqa/dynamic_which_final_textsim_p50_instruction_on.json
llava15,docvqa,textsim,50,200,n200_pilot,9.55,17.01,16.47,-7.46,-6.92,47.89,True,results/runs/llava15/docvqa/dynamic_which_pilot_n200_textsim_p50_instruction_on.json
llava15,docvqa,textsim,75,5349,final,17.39,21.36,21.53,-3.97,-4.14,24.12,True,results/runs/llava15/docvqa/dynamic_which_final_textsim_p75_instruction_on.json
llava15,docvqa,textsim_cls_mix,25,200,n200_pilot,11.66,14.65,16.47,-2.99,-4.81,71.32,True,results/runs/llava15/docvqa/dynamic_which_pilot_n200_textsim_cls_mix_p25_instruction_on.json
llava15,docvqa,textsim_cls_mix,35,200,n200_pilot,12.37,16.2,16.47,-3.83,-4.1,61.92,True,results/runs/llava15/docvqa/dynamic_which_pilot_n200_textsim_cls_mix_p35_instruction_on.json
llava15,docvqa,textsim_cls_mix,50,200,n200_pilot,13.89,17.01,16.47,-3.12,-2.58,47.89,True,results/runs/llava15/docvqa/dynamic_which_pilot_n200_textsim_cls_mix_p50_instruction_on.json
llava15,docvqa,textsim_ref,25,200,unknown,7.15,14.65,16.47,-7.5,-9.32,71.32,True,results/runs/llava15/docvqa/dynamic_which_ref_pilot_n200_textsim_ref_p25_instruction_on.json
llava15,docvqa,textsim_ref,35,200,unknown,8.01,16.2,16.47,-8.19,-8.46,61.92,True,results/runs/llava15/docvqa/dynamic_which_ref_pilot_n200_textsim_ref_p35_instruction_on.json
llava15,docvqa,textsim_ref,50,200,unknown,9.55,17.01,16.47,-7.46,-6.92,47.89,True,results/runs/llava15/docvqa/dynamic_which_ref_pilot_n200_textsim_ref_p50_instruction_on.json
llava15,gqa,textsim,15,12578,final,55.41,56.14,61.42,-0.73,-6.01,80.85,True,results/runs/llava15/gqa/dynamic_which_final_textsim_p15.json
llava15,gqa,textsim,25,12578,final,56.89,58.15,61.42,-1.26,-4.53,71.48,True,results/runs/llava15/gqa/dynamic_which_final_textsim_p25.json
llava15,gqa,textsim,25,1000,n1000_confirm,62.7,64.2,67.3,-1.5,-4.6,71.5,True,results/runs/llava15/gqa/dynamic_which_pilot_n1000_textsim_p25.json
llava15,gqa,textsim,25,200,n200_pilot,67.0,66.0,63.5,1.0,3.5,71.49,True,results/runs/llava15/gqa/dynamic_which_pilot_n200_textsim_p25.json
llava15,gqa,textsim,35,12578,final,57.54,59.41,61.42,-1.87,-3.88,62.07,True,results/runs/llava15/gqa/dynamic_which_final_textsim_p35.json
llava15,gqa,textsim,35,1000,n1000_confirm,63.7,65.7,67.3,-2.0,-3.6,62.08,True,results/runs/llava15/gqa/dynamic_which_pilot_n1000_textsim_p35.json
llava15,gqa,textsim,35,200,n200_pilot,66.5,66.5,63.5,0.0,3.0,62.07,True,results/runs/llava15/gqa/dynamic_which_pilot_n200_textsim_p35.json
llava15,gqa,textsim,50,12578,final,58.96,60.53,61.42,-1.57,-2.46,48.0,True,results/runs/llava15/gqa/dynamic_which_final_textsim_p50.json
llava15,gqa,textsim,75,12578,final,60.8,61.53,61.42,-0.73,-0.62,24.17,True,results/runs/llava15/gqa/dynamic_which_final_textsim_p75.json
llava15,gqa,textsim,75,20,n20_smoke,65.0,55.0,60.0,10.0,5.0,24.14,True,results/runs/llava15/gqa/dynamic_which_pilot_n20_textsim_p75.json
llava15,gqa,textsim_cls_mix,25,200,n200_pilot,66.5,66.0,63.5,0.5,3.0,71.49,True,results/runs/llava15/gqa/dynamic_which_pilot_n200_textsim_cls_mix_p25.json
llava15,gqa,textsim_cls_mix,35,200,n200_pilot,64.5,66.5,63.5,-2.0,1.0,62.07,True,results/runs/llava15/gqa/dynamic_which_pilot_n200_textsim_cls_mix_p35.json
llava15,textvqa,saliency_mix_ref,25,200,unknown,50.2,55.7,56.75,-5.5,-6.55,64.82,True,results/runs/llava15/textvqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p25_ocr_on.json
llava15,textvqa,saliency_mix_ref,35,200,unknown,51.0,59.05,56.75,-8.05,-5.75,56.28,True,results/runs/llava15/textvqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p35_ocr_on.json
llava15,textvqa,saliency_mix_ref,50,200,unknown,53.85,57.9,56.75,-4.05,-2.9,43.52,True,results/runs/llava15/textvqa/dynamic_which_ref_pilot_n200_saliency_mix_ref_p50_ocr_on.json
llava15,textvqa,static_guarded_textsim_ref,25,200,unknown,53.25,55.7,56.75,-2.45,-3.5,64.82,True,results/runs/llava15/textvqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p25_ocr_on.json
llava15,textvqa,static_guarded_textsim_ref,35,200,unknown,56.1,59.05,56.75,-2.95,-0.65,56.28,True,results/runs/llava15/textvqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p35_ocr_on.json
llava15,textvqa,static_guarded_textsim_ref,50,200,unknown,56.8,57.9,56.75,-1.1,0.05,43.52,True,results/runs/llava15/textvqa/dynamic_which_ref_pilot_n200_static_guarded_textsim_ref_p50_ocr_on.json
llava15,textvqa,textsim,15,5000,final,47.48,56.05,57.65,-8.57,-10.17,74.6,True,results/runs/llava15/textvqa/dynamic_which_final_textsim_p15_ocr_on.json
llava15,textvqa,textsim,25,5000,final,49.1,55.97,57.65,-6.87,-8.55,65.96,True,results/runs/llava15/textvqa/dynamic_which_final_textsim_p25_ocr_on.json
