model,dataset,budget_pct,selector,expected_basename,exists_final_json,exists_final_jsonl,status,n,gate_ok,score_pct,static_reference_score_pct,dense_reference_score_pct,dynamic_minus_static_pp,accuracy_delta_pp,token_reduction_pct,flop_reduction_pct,path_json,path_jsonl
llava15,gqa,15,textsim,dynamic_which_final_textsim_p15,True,True,complete,12578,True,55.41,56.14,61.42,-0.73,-6.01,80.36,80.85,results/runs/llava15/gqa/dynamic_which_final_textsim_p15.json,results/runs/llava15/gqa/dynamic_which_final_textsim_p15.jsonl
llava15,gqa,25,textsim,dynamic_which_final_textsim_p25,True,True,complete,12578,True,56.89,58.15,61.42,-1.26,-4.53,70.85,71.48,results/runs/llava15/gqa/dynamic_which_final_textsim_p25.json,results/runs/llava15/gqa/dynamic_which_final_textsim_p25.jsonl
llava15,gqa,35,textsim,dynamic_which_final_textsim_p35,True,True,complete,12578,True,57.54,59.41,61.42,-1.87,-3.88,61.34,62.07,results/runs/llava15/gqa/dynamic_which_final_textsim_p35.json,results/runs/llava15/gqa/dynamic_which_final_textsim_p35.jsonl
llava15,gqa,50,textsim,dynamic_which_final_textsim_p50,True,True,complete,12578,True,58.96,60.53,61.42,-1.57,-2.46,47.23,48.0,results/runs/llava15/gqa/dynamic_which_final_textsim_p50.json,results/runs/llava15/gqa/dynamic_which_final_textsim_p50.jsonl
llava15,gqa,75,textsim,dynamic_which_final_textsim_p75,True,True,complete,12578,True,60.8,61.53,61.42,-0.73,-0.62,23.62,24.17,results/runs/llava15/gqa/dynamic_which_final_textsim_p75.json,results/runs/llava15/gqa/dynamic_which_final_textsim_p75.jsonl
llava15,vqav2,15,textsim,dynamic_which_final_textsim_p15,True,True,complete,25000,True,68.33,73.36,77.33,-5.03,-9.0,80.72,81.19,results/runs/llava15/vqav2/dynamic_which_final_textsim_p15.json,results/runs/llava15/vqav2/dynamic_which_final_textsim_p15.jsonl
llava15,vqav2,25,textsim,dynamic_which_final_textsim_p25,True,True,complete,25000,True,70.03,75.55,77.33,-5.52,-7.3,71.16,71.79,results/runs/llava15/vqav2/dynamic_which_final_textsim_p25.json,results/runs/llava15/vqav2/dynamic_which_final_textsim_p25.jsonl
llava15,vqav2,35,textsim,dynamic_which_final_textsim_p35,True,True,complete,25000,True,71.32,76.13,77.33,-4.81,-6.01,61.61,62.33,results/runs/llava15/vqav2/dynamic_which_final_textsim_p35.json,results/runs/llava15/vqav2/dynamic_which_final_textsim_p35.jsonl
llava15,vqav2,50,textsim,dynamic_which_final_textsim_p50,True,True,complete,25000,True,73.14,76.94,77.33,-3.8,-4.19,47.44,48.21,results/runs/llava15/vqav2/dynamic_which_final_textsim_p50.json,results/runs/llava15/vqav2/dynamic_which_final_textsim_p50.jsonl
llava15,vqav2,75,textsim,dynamic_which_final_textsim_p75,True,True,complete,25000,True,75.72,77.31,77.33,-1.59,-1.61,23.72,24.28,results/runs/llava15/vqav2/dynamic_which_final_textsim_p75.json,results/runs/llava15/vqav2/dynamic_which_final_textsim_p75.jsonl
llava15,textvqa,15,textsim,dynamic_which_final_textsim_p15_ocr_on,True,True,complete,5000,True,47.48,56.05,57.65,-8.57,-10.17,73.97,74.6,results/runs/llava15/textvqa/dynamic_which_final_textsim_p15_ocr_on.json,results/runs/llava15/textvqa/dynamic_which_final_textsim_p15_ocr_on.jsonl
llava15,textvqa,25,textsim,dynamic_which_final_textsim_p25_ocr_on,True,True,complete,5000,True,49.1,55.97,57.65,-6.87,-8.55,65.22,65.96,results/runs/llava15/textvqa/dynamic_which_final_textsim_p25_ocr_on.json,results/runs/llava15/textvqa/dynamic_which_final_textsim_p25_ocr_on.jsonl
llava15,textvqa,35,textsim,dynamic_which_final_textsim_p35_ocr_on,True,True,complete,5000,True,49.76,56.71,57.65,-6.95,-7.89,56.46,57.27,results/runs/llava15/textvqa/dynamic_which_final_textsim_p35_ocr_on.json,results/runs/llava15/textvqa/dynamic_which_final_textsim_p35_ocr_on.jsonl
llava15,textvqa,50,textsim,dynamic_which_final_textsim_p50_ocr_on,True,True,complete,5000,True,50.81,56.4,57.65,-5.59,-6.84,43.48,44.29,results/runs/llava15/textvqa/dynamic_which_final_textsim_p50_ocr_on.json,results/runs/llava15/textvqa/dynamic_which_final_textsim_p50_ocr_on.jsonl
